date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-16;Bordeaux;app;4;4;13;172.0;-28.34;143.66
2025-03-16;Bordeaux;web;7;7;21;254.0;-3.45;250.55
2025-03-16;Lille;app;4;4;12;112.7;-39.93;72.77000000000001
2025-03-16;Lille;web;5;5;17;179.6;-14.92;164.68
2025-03-16;Lyon;app;5;5;9;71.9;-18.0;53.900000000000006
2025-03-16;Lyon;web;6;5;18;219.0;-10.379999999999999;208.62
2025-03-16;Marseille;app;7;7;21;199.7;-18.6;181.1
2025-03-16;Marseille;web;3;3;7;139.5;-37.04;102.46000000000001
2025-03-16;Nantes;app;6;6;14;124.3;-1.09;123.21
2025-03-16;Nantes;web;7;7;23;445.8;-4.99;440.81
2025-03-16;Nice;app;4;4;16;92.0;0.0;92.0
2025-03-16;Nice;web;4;4;6;112.19999999999999;-24.67;87.52999999999999
2025-03-16;Paris;app;4;4;11;110.30000000000001;0.0;110.30000000000001
2025-03-16;Paris;web;3;3;11;129.5;0.0;129.5
2025-03-16;Toulouse;app;1;1;5;49.5;-4.48;45.019999999999996
2025-03-16;Toulouse;web;7;7;23;302.2;-9.38;292.82
