date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-19;Bordeaux;app;4;4;11;184.60000000000002;-2.56;182.04000000000002
2025-03-19;Bordeaux;web;8;8;25;367.4;-28.959999999999997;338.44
2025-03-19;Lille;app;6;6;22;156.5;-16.96;139.54
2025-03-19;Lille;web;5;5;14;140.2;0.0;140.2
2025-03-19;Lyon;app;8;8;21;180.5;-50.71;129.79
2025-03-19;Lyon;web;5;5;19;248.6;-19.58;229.01999999999998
2025-03-19;Marseille;app;5;5;15;157.6;-18.84;138.76
2025-03-19;Marseille;web;4;4;13;81.0;-25.35;55.65
2025-03-19;Nantes;app;3;3;8;77.19999999999999;-35.17;42.02999999999999
2025-03-19;Nantes;web;6;6;12;129.5;-67.07000000000001;62.42999999999999
2025-03-19;Nice;app;7;6;23;276.20000000000005;-45.73;230.47000000000006
2025-03-19;Nice;web;2;2;9;50.0;-17.51;32.489999999999995
2025-03-19;Paris;app;1;1;5;99.5;0.0;99.5
2025-03-19;Paris;web;4;4;12;129.5;-10.2;119.3
2025-03-19;Toulouse;app;5;5;16;83.2;-16.98;66.22
2025-03-19;Toulouse;web;5;5;19;216.7;-6.41;210.29
