date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-02;Bordeaux;app;4;4;12;174.1;-9.33;164.76999999999998
2025-03-02;Bordeaux;web;9;9;31;330.4;-30.6;299.79999999999995
2025-03-02;Lille;app;5;5;11;141.89999999999998;-26.39;115.50999999999998
2025-03-02;Lille;web;4;4;13;126.6;-12.46;114.13999999999999
2025-03-02;Lyon;app;5;5;13;129.6;-12.38;117.22
2025-03-02;Lyon;web;6;6;17;202.4;-29.84;172.56
2025-03-02;Marseille;app;3;3;9;115.0;0.0;115.0
2025-03-02;Marseille;web;2;2;5;51.9;-18.71;33.19
2025-03-02;Nantes;app;8;8;21;184.5;0.0;184.5
2025-03-02;Nantes;web;6;6;16;232.9;-5.86;227.04
2025-03-02;Nice;app;7;7;18;164.79999999999998;-50.269999999999996;114.52999999999999
2025-03-02;Nice;web;5;5;13;148.1;-18.28;129.82
2025-03-02;Paris;app;4;4;10;83.19999999999999;0.0;83.19999999999999
2025-03-02;Paris;web;6;6;18;218.6;-73.55000000000001;145.04999999999998
2025-03-02;Toulouse;app;5;5;13;208.9;-16.48;192.42000000000002
2025-03-02;Toulouse;web;5;5;15;218.3;-2.95;215.35000000000002
