date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-18;Bordeaux;app;8;7;25;217.2;-16.65;200.54999999999998
2025-03-18;Bordeaux;web;3;3;9;91.0;-17.19;73.81
2025-03-18;Lille;app;7;7;19;164.9;0.0;164.9
2025-03-18;Lille;web;2;2;4;24.0;-5.27;18.73
2025-03-18;Lyon;app;6;6;14;100.0;-37.96;62.04
2025-03-18;Lyon;web;4;4;11;127.2;0.0;127.2
2025-03-18;Marseille;app;8;8;35;500.8;-5.33;495.47
2025-03-18;Marseille;web;3;3;9;85.0;-17.14;67.86
2025-03-18;Nantes;app;2;2;8;49.5;0.0;49.5
2025-03-18;Nantes;web;5;5;8;61.9;-27.08;34.82
2025-03-18;Nice;app;3;3;15;212.0;-16.92;195.07999999999998
2025-03-18;Nice;web;9;9;35;547.3000000000001;-16.54;530.7600000000001
2025-03-18;Paris;app;7;7;20;211.0;-38.58;172.42000000000002
2025-03-18;Paris;web;5;5;14;183.6;-4.53;179.07
2025-03-18;Toulouse;app;8;8;26;279.79999999999995;0.0;279.79999999999995
2025-03-18;Toulouse;web;6;6;17;134.9;-21.73;113.17
