date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-20;Bordeaux;app;4;4;12;91.0;0.0;91.0
2025-03-20;Bordeaux;web;6;6;19;147.0;-3.7;143.3
2025-03-20;Lille;app;9;9;23;257.0;-26.83;230.17000000000002
2025-03-20;Lille;web;3;3;5;43.6;0.0;43.6
2025-03-20;Lyon;app;3;3;7;64.5;0.0;64.5
2025-03-20;Lyon;web;4;4;15;127.0;0.0;127.0
2025-03-20;Marseille;app;6;6;19;326.7;-7.13;319.57
2025-03-20;Marseille;web;5;5;13;92.9;-55.22;37.68000000000001
2025-03-20;Nantes;app;2;2;9;164.1;-9.2;154.9
2025-03-20;Nantes;web;5;5;15;118.0;-6.41;111.59
2025-03-20;Nice;app;5;5;20;249.2;-10.68;238.51999999999998
2025-03-20;Nice;web;4;4;13;139.3;0.0;139.3
2025-03-20;Paris;app;7;7;19;154.3;-18.67;135.63
2025-03-20;Paris;web;11;11;27;235.7;-26.36;209.33999999999997
2025-03-20;Toulouse;app;4;4;12;110.0;0.0;110.0
2025-03-20;Toulouse;web;5;5;17;212.0;0.0;212.0
