date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-06;Bordeaux;app;8;8;24;289.0;-54.43;234.57
2025-03-06;Bordeaux;web;7;7;20;234.1;-30.84;203.26
2025-03-06;Lille;app;2;2;4;36.9;0.0;36.9
2025-03-06;Lille;web;6;5;19;204.3;-21.86;182.44
2025-03-06;Lyon;app;7;7;25;389.29999999999995;-8.9;380.4
2025-03-06;Lyon;web;4;4;13;95.5;-10.370000000000001;85.13
2025-03-06;Marseille;app;7;7;22;198.3;0.0;198.3
2025-03-06;Marseille;web;1;1;2;25.0;0.0;25.0
2025-03-06;Nantes;app;5;5;12;72.8;-36.39;36.41
2025-03-06;Nantes;web;4;4;14;169.4;0.0;169.4
2025-03-06;Nice;app;4;4;12;69.9;0.0;69.9
2025-03-06;Nice;web;9;8;25;259.90000000000003;-7.11;252.79000000000002
2025-03-06;Paris;app;4;4;13;133.2;0.0;133.2
2025-03-06;Paris;web;5;5;10;189.9;0.0;189.9
2025-03-06;Toulouse;app;3;3;12;120.0;-11.97;108.03
2025-03-06;Toulouse;web;3;3;14;199.6;-19.64;179.95999999999998
