date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-31;Bordeaux;app;4;4;15;119.70;-13.64;106.06
2025-03-31;Bordeaux;web;8;8;22;266.90;-14.55;252.35
2025-03-31;Lille;app;2;2;6;47.60;-16.69;30.91
2025-03-31;Lille;web;4;4;10;52.00;-8.20;43.80
2025-03-31;Lyon;app;1;1;5;20.00;0.00;20.00
2025-03-31;Lyon;web;6;6;12;183.30;-8.43;174.87
2025-03-31;Marseille;app;6;6;16;246.40;-30.22;216.18
2025-03-31;Marseille;web;3;3;8;87.00;0.00;87.00
2025-03-31;Nantes;app;3;3;11;154.50;-15.07;139.43
2025-03-31;Nantes;web;9;9;27;281.80;-31.08;250.72
2025-03-31;Nice;app;2;2;7;27.50;-6.72;20.78
2025-03-31;Nice;web;3;3;8;37.50;0.00;37.50
2025-03-31;Paris;app;4;4;8;92.50;0.00;92.50
2025-03-31;Paris;web;7;6;26;324.00;-14.77;309.23
2025-03-31;Toulouse;app;5;5;14;224.10;-5.02;219.08
2025-03-31;Toulouse;web;7;7;18;176.80;-14.12;162.68
