date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-20;Bordeaux;app;4;4;12;91.00;0.00;91.00
2025-03-20;Bordeaux;web;6;6;19;147.00;-3.70;143.30
2025-03-20;Lille;app;9;9;23;257.00;-26.83;230.17
2025-03-20;Lille;web;3;3;5;43.60;0.00;43.60
2025-03-20;Lyon;app;3;3;7;64.50;0.00;64.50
2025-03-20;Lyon;web;4;4;15;127.00;0.00;127.00
2025-03-20;Marseille;app;6;6;19;326.70;-7.13;319.57
2025-03-20;Marseille;web;5;5;13;92.90;-55.22;37.68
2025-03-20;Nantes;app;2;2;9;164.10;-9.20;154.90
2025-03-20;Nantes;web;5;5;15;118.00;-6.41;111.59
2025-03-20;Nice;app;5;5;20;249.20;-10.68;238.52
2025-03-20;Nice;web;4;4;13;139.30;0.00;139.30
2025-03-20;Paris;app;7;7;19;154.30;-18.67;135.63
2025-03-20;Paris;web;11;11;27;235.70;-26.36;209.34
2025-03-20;Toulouse;app;4;4;12;110.00;0.00;110.00
2025-03-20;Toulouse;web;5;5;17;212.00;0.00;212.00
