date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-04;Bordeaux;app;6;6;21;248.70;-47.55;201.15
2025-03-04;Bordeaux;web;8;8;19;162.00;-41.79;120.21
2025-03-04;Lille;web;2;2;6;27.50;0.00;27.50
2025-03-04;Lyon;app;3;3;7;132.60;-5.61;126.99
2025-03-04;Lyon;web;4;3;13;223.80;-25.09;198.71
2025-03-04;Marseille;app;8;8;28;316.10;-50.10;266.00
2025-03-04;Marseille;web;4;4;9;87.60;-3.84;83.76
2025-03-04;Nantes;app;4;4;13;63.50;0.00;63.50
2025-03-04;Nantes;web;7;7;21;292.00;-5.42;286.58
2025-03-04;Nice;app;5;5;22;336.30;0.00;336.30
2025-03-04;Nice;web;6;6;13;101.30;-39.73;61.57
2025-03-04;Paris;app;5;5;19;183.50;-9.86;173.64
2025-03-04;Paris;web;4;4;17;127.50;-8.18;119.32
2025-03-04;Toulouse;app;6;6;19;124.40;0.00;124.40
2025-03-04;Toulouse;web;7;7;15;124.60;-14.52;110.08
