date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-13;Bordeaux;app;9;8;29;354.70;-5.86;348.84
2025-03-13;Bordeaux;web;1;1;1;4.00;0.00;4.00
2025-03-13;Lille;app;6;6;13;250.10;-18.49;231.61
2025-03-13;Lille;web;4;4;8;103.70;-7.79;95.91
2025-03-13;Lyon;app;6;6;18;109.80;-4.31;105.49
2025-03-13;Lyon;web;6;6;24;181.80;-18.91;162.89
2025-03-13;Marseille;app;5;4;18;200.50;0.00;200.50
2025-03-13;Marseille;web;6;5;19;189.30;-63.58;125.72
2025-03-13;Nantes;app;5;5;17;144.80;0.00;144.80
2025-03-13;Nantes;web;6;6;20;254.50;-34.69;219.81
2025-03-13;Nice;app;4;4;11;179.50;-12.59;166.91
2025-03-13;Nice;web;6;6;20;188.60;-15.42;173.18
2025-03-13;Paris;app;8;8;24;319.20;-9.57;309.63
2025-03-13;Paris;web;4;4;13;187.50;0.00;187.50
2025-03-13;Toulouse;app;4;4;17;202.10;0.00;202.10
2025-03-13;Toulouse;web;5;5;17;174.10;-35.53;138.57
