date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-23;Bordeaux;app;6;6;25;282.20;-17.82;264.38
2025-03-23;Bordeaux;web;3;3;3;36.40;0.00;36.40
2025-03-23;Lille;app;6;6;15;137.40;-22.74;114.66
2025-03-23;Lille;web;1;1;5;62.50;0.00;62.50
2025-03-23;Lyon;app;6;6;18;205.20;-17.52;187.68
2025-03-23;Lyon;web;5;5;13;170.80;-52.77;118.03
2025-03-23;Marseille;app;4;4;10;137.10;-71.89;65.21
2025-03-23;Marseille;web;7;7;24;350.00;-12.84;337.16
2025-03-23;Nantes;app;3;3;12;104.70;-15.18;89.52
2025-03-23;Nantes;web;7;7;19;187.40;-66.52;120.88
2025-03-23;Nice;app;4;4;15;154.60;-45.27;109.33
2025-03-23;Nice;web;8;8;22;285.70;-72.93;212.77
2025-03-23;Paris;app;4;4;12;63.00;-9.33;53.67
2025-03-23;Paris;web;5;5;17;148.50;-12.32;136.18
2025-03-23;Toulouse;app;3;3;5;27.90;-9.90;18.00
2025-03-23;Toulouse;web;3;3;9;114.20;-22.02;92.18
