date;city;channel;orders_count;unique_customers;items_sold;gross_revenue_eur;refunds_eur;net_revenue_eur
2025-03-06;Bordeaux;app;8;8;24;289.00;-54.43;234.57
2025-03-06;Bordeaux;web;7;7;20;234.10;-30.84;203.26
2025-03-06;Lille;app;2;2;4;36.90;0.00;36.90
2025-03-06;Lille;web;6;5;19;204.30;-21.86;182.44
2025-03-06;Lyon;app;7;7;25;389.30;-8.90;380.40
2025-03-06;Lyon;web;4;4;13;95.50;-10.37;85.13
2025-03-06;Marseille;app;7;7;22;198.30;0.00;198.30
2025-03-06;Marseille;web;1;1;2;25.00;0.00;25.00
2025-03-06;Nantes;app;5;5;12;72.80;-36.39;36.41
2025-03-06;Nantes;web;4;4;14;169.40;0.00;169.40
2025-03-06;Nice;app;4;4;12;69.90;0.00;69.90
2025-03-06;Nice;web;9;8;25;259.90;-7.11;252.79
2025-03-06;Paris;app;4;4;13;133.20;0.00;133.20
2025-03-06;Paris;web;5;5;10;189.90;0.00;189.90
2025-03-06;Toulouse;app;3;3;12;120.00;-11.97;108.03
2025-03-06;Toulouse;web;3;3;14;199.60;-19.64;179.96
